Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000000001,Sun Jan 01 00:00:35 CST 2017,Viol City Ordinance,Verbal Warning,"Raven, Kassondra",600blk Mill St
170000000002,Sun Jan 01 00:01:06 CST 2017,Fireworks,No Report,"Ellingson, Brian",1011 Wonder World Dr
170000000003,Sun Jan 01 00:01:11 CST 2017,Fireworks,Cancelled,"Putnam, Justin",100blk North Fork Rd
170000000004,Sun Jan 01 00:02:41 CST 2017,Fireworks,Verbal Warning,"Scott, Charles",222 Hay Barn St
170000000005,Sun Jan 01 00:05:19 CST 2017,Public Intoxication,No Report,"Hartman, Ryan",120 E San Antonio St
170000000006,Sun Jan 01 00:05:21 CST 2017,Burglary - Habitation,Report,"Wooten, Christopher",1111 Avalon Ave
170000000007,Sun Jan 01 00:05:36 CST 2017,Fireworks,Cancelled,"Putnam, Justin",1640 Aquarena Springs Dr
170000000008,Sun Jan 01 00:06:03 CST 2017,Fireworks,Verbal Warning,"Raven, Scott",1000blk Bandera St
170000000009,Sun Jan 01 00:06:46 CST 2017,Fireworks,Verbal Warning,"Scott, Charles",106 Wainscot Oak Way
170000000010,Sun Jan 01 00:07:56 CST 2017,Suspicious Vehicle,No Report,"Aubry, Patrick",4015 S IH 35
170000000011,Sun Jan 01 00:10:27 CST 2017,Fireworks,Cancelled,,500BLK W Hopkins St
170000000012,Sun Jan 01 00:11:55 CST 2017,Investigation,Verbal Warning,"Hartman, Ryan",120 E San Antonio St
170000000013,Sun Jan 01 00:15:40 CST 2017,Fireworks,Cancelled,,1400blk Harper Dr
170000000014,Sun Jan 01 00:16:24 CST 2017,Fireworks,Cancelled,,Vanessa St/Christopher St
170000000015,Sun Jan 01 00:16:35 CST 2017,Fireworks,No Contact,"Raven, Scott",200blk Newberry Trl
170000000016,Sun Jan 01 00:17:24 CST 2017,Fireworks,Cancelled,,100blk Azolar Dr
170000000017,Sun Jan 01 00:20:39 CST 2017,Investigation,No Report,"Verver, Elias",120 E San Antonio St
170000000018,Sun Jan 01 00:20:50 CST 2017,Fireworks,Cancelled,,100blk Wisteria Way
170000000020,Sun Jan 01 00:26:52 CST 2017,Fireworks,Cancelled,,1109 San Marcos Pkwy
170000000021,Sun Jan 01 00:27:15 CST 2017,Public Intoxication,Arrest,"Locke, Loy",120 E San Antonio St
170000000022,Sun Jan 01 00:28:08 CST 2017,Assault,No Report,"Wooten, Christopher",1111 Avalon Ave
170000000023,Sun Jan 01 00:40:52 CST 2017,Disturbance - Verbal,No Report,"Raven, Kassondra",1301 Wonder World Dr
170000000024,Sun Jan 01 00:49:40 CST 2017,Attempt to Locate,No Contact,,201 Sb35 IH
170000000025,Sun Jan 01 00:51:54 CST 2017,Public Intoxication,No Report,"Hartman, Ryan",141 E Hopkins St
170000000026,Sun Jan 01 00:52:30 CST 2017,Fireworks,No Contact,"Raven, Scott",800blk River Rd
170000000027,Sun Jan 01 00:57:11 CST 2017,Suspicious Circumstances,No Contact,"Wooten, Christopher",103 Riviera St
170000000028,Sun Jan 01 00:58:03 CST 2017,Fireworks,Cancelled,,900blk Conway Dr
170000000029,Sun Jan 01 00:58:49 CST 2017,Investigation,Arrest,"Cormier, Claudia",1550 N IH 35
170000000030,Sun Jan 01 01:00:23 CST 2017,Welfare Concern,Cancelled,,126 S Guadalupe St
170000000032,Sun Jan 01 01:04:27 CST 2017,Attempt to Locate,No Report,,201 Nb35 IH
170000000033,Sun Jan 01 01:04:52 CST 2017,Attempt to Locate,No Report,"Sarver, Stephen",Hunter Rd/W Wonder World Dr
170000000034,Sun Jan 01 01:09:09 CST 2017,Attempt to Locate,Arrest,"Wooten, Christopher",1303 S Ih 35
170000000036,Sun Jan 01 01:09:56 CST 2017,Attempt to Locate,No Report,"Templeton, Brady",196 Nb35 Ih
170000000037,Sun Jan 01 01:10:59 CST 2017,Public Intoxication,Verbal Warning,"Hartman, Ryan",100blk N Guadalupe St
170000000038,Sun Jan 01 01:11:17 CST 2017,Public Intoxication,No Report,"Scott, Charles",216 E Hopkins St
170000000039,Sun Jan 01 01:13:09 CST 2017,Welfare Concern,No Report,"Sarver, Stephen",421 W San Antonio St
170000000040,Sun Jan 01 01:18:58 CST 2017,Disturbance - Verbal,No Report,"Raven, Scott",1321 N IH 35
170000000041,Sun Jan 01 01:19:36 CST 2017,Burglary - Habitation,Report,"Aubry, Patrick",204 Cazador Dr
170000000042,Sun Jan 01 01:25:56 CST 2017,Assist EMS,No Report,"Putnam, Justin",1601 Miller Trce
